Subject,START DATE,START TIME,SUBJECT,LOCATION
Football,9/6/12,8:00 PM,UC Football vs Pittsburgh,Nippert Stadium
Football,9/15/12,7:00 PM,UC Football vs Delaware State,Nippert Stadium
Football,9/29/12,TBD,UC Football vs Virginia Tech,"Landover, Md."
Football,10/6/12,7:00 PM,UC Football vs Miami (OH),Nippert Stadium
Football,10/13/12,TBD,UC Football vs Fordham,Nippert Stadium
Football,10/20/12,TBD,UC Football vs Toledo,"Toledo, Ohio"
Football,10/26/12,8:00 PM,UC Football vs Louisville,"Louisville, Ky."
Football,11/3/12,TBD,UC Football vs Syracuse,Nippert Stadium
Football,11/10/12,TBD,UC Football vs Temple,"Philadelphia, Pa."
Football,11/17/12,12:00 PM,UC Football vs Rutgers,Nippert Stadium
Football,11/23/12,TBD,UC Football vs USF,Nippert Stadium
Football,12/1/12,TBD,UC Football vs Connecticut,"East Hartford, Conn."