START DATE,START TIME,SUBJECT,LOCATION,END DATE,END TIME
11/4/12,7:00 PM,Kentucky Wesleyan (EXH.),Fifth Third Arena,11/4/12,9:00 PM
11/9/12,7:00 PM,Northern Kentucky,Fifth Third Arena,11/9/12,9:00 PM
11/14/12,7:00 PM,Ohio State,"Columbus, Ohio",11/14/12,9:00 PM
11/19/12,7:00 PM,Kent State,"Kent, Ohio",11/19/12,9:00 PM
11/25/12,2:00 PM,College of Charleston,Fifth Third Arena,11/25/12,4:00 PM
11/28/12,7:00 PM,Morehead State,Fifth Third Arena,11/28/12,9:00 PM
12/2/12,2:00 PM,Xavier,Fifth Third Arena,12/2/12,4:00 PM
12/5/12,7:00 PM,Youngstown,Fifth Third Arena,12/5/12,9:00 PM
12/9/12,2:00 PM,Eastern Kentucky,Fifth Third Arena,12/9/12,4:00 PM
12/15/12,7:00 PM,Akron,"Akron, Ohio",12/15/12,11:00 PM
12/21/12,12:00 PM,Belmost,Fifth Third Arena,12/21/12,2:00 PM
12/28/12,10:30 PM,Alabama,"Honolulu, Hawaii",12/29/12,12:30 AM
12/29/12,11:00 PM,Hawaii,"Honolulu, Hawaii",12/30/12,1:00 AM
12/30/12,8:30 PM,Long Island,"Honolulu, Hawaii",12/30/12,10:30 PM
1/6/13,2:00 PM,Villanova,Fifth Third Arena,1/6/13,4:00 PM
1/9/13,7:00 PM,Seton Hall,Fifth Third Arena,1/9/13,9:00 PM
1/15/13,TBA,USF,"Tampa, Fla.",1/15/13,TBA
1/18/13,TBA,Louisville,"Louisville, Ky.",1/18/13,TBA
1/22/13,7:00 PM,DePaul,Fifth Third Arena,1/22/13,9:00 PM
1/26/13,8:00 PM,Connecticut,Fifth Third Arena,1/26/13,10:00 PM
1/29/13,TBA,Georgetown,"Washington, D.C.",1/29/13,TBA
2/2/13,TBA,Notre Dame,"South Bend, Ind.",2/2/13,TBA
2/5/13,7:00 PM,Syracuse,Fifth Third Arena,2/5/13,9:00 PM
2/9/13,6:00 PM,Rutgers (BIG EAST TV),"Piscatawy, N.J",2/9/13,8:00 PM
2/17/13,5:00 PM,Marquette,"Queens, N.Y.",2/17/13,7:00 PM
2/20/13,TBA,St. John's (ESPN2),"Pittsburgh, Pa.",2/20/13,TBA
2/23/13,2:00 PM,Providence,Fifth Third Arena,2/23/13,4:00 PM
3/2/13,5:00 PM,Rutgers,Fifth Third Arena,3/2/13,7:00 PM
3/4/13,4:00 PM,Marquette,"Milwaukee, Wisc.",3/4/13,6:00 PM
3/8/13,TBA,BIG EAST Championship,"Hartford, Conn.",3/12/13,TBA